payment_amount,available_balance,failure_reason,payment_method,attempt_number,priority
10000,500,BANK_TIMEOUT,NET_BANKING,1,HIGH
1000,200,CARD_EXPIRED,CARD,3,LOW
15000,100,INSUFFICIENT_FUNDS,UPI,3,HIGH
3000,5000,CARD_EXPIRED,NET_BANKING,2,MEDIUM
2000,20000,CARD_EXPIRED,CARD,2,MEDIUM
20000,500,CARD_EXPIRED,NET_BANKING,1,HIGH
1000,2500,CARD_EXPIRED,CARD,2,LOW
20000,2500,BANK_TIMEOUT,NET_BANKING,2,HIGH
1000,5000,OTP_FAILED,UPI,2,LOW
1500,1000,BANK_TIMEOUT,NET_BANKING,2,LOW
5000,1000,BANK_TIMEOUT,NET_BANKING,1,MEDIUM
500,10000,CARD_EXPIRED,CARD,3,LOW
20000,1500,CARD_EXPIRED,UPI,1,HIGH
20000,200,OTP_FAILED,CARD,3,HIGH
10000,100,BANK_TIMEOUT,CARD,1,HIGH
1500,1500,BANK_TIMEOUT,UPI,2,LOW
2000,1500,BANK_TIMEOUT,NET_BANKING,2,MEDIUM
7500,100,OTP_FAILED,CARD,3,MEDIUM
1500,10000,BANK_TIMEOUT,NET_BANKING,2,LOW
2000,1500,BANK_TIMEOUT,UPI,2,MEDIUM
7500,500,INSUFFICIENT_FUNDS,UPI,3,MEDIUM
7500,200,CARD_EXPIRED,UPI,2,MEDIUM
500,5000,BANK_TIMEOUT,NET_BANKING,3,LOW
3000,20000,CARD_EXPIRED,NET_BANKING,3,MEDIUM
500,2500,INSUFFICIENT_FUNDS,NET_BANKING,3,LOW
1500,200,CARD_EXPIRED,UPI,2,LOW
10000,200,BANK_TIMEOUT,NET_BANKING,2,HIGH
5000,1000,CARD_EXPIRED,CARD,1,MEDIUM
1000,10000,INSUFFICIENT_FUNDS,UPI,1,LOW
20000,500,OTP_FAILED,CARD,2,HIGH
1000,10000,OTP_FAILED,CARD,1,LOW
2000,5000,BANK_TIMEOUT,NET_BANKING,2,MEDIUM
3000,20000,OTP_FAILED,UPI,1,MEDIUM
20000,1000,BANK_TIMEOUT,CARD,2,HIGH
1000,100,CARD_EXPIRED,NET_BANKING,2,LOW
2000,10000,INSUFFICIENT_FUNDS,NET_BANKING,3,MEDIUM
2000,1500,BANK_TIMEOUT,CARD,2,MEDIUM
10000,20000,CARD_EXPIRED,NET_BANKING,1,HIGH
500,200,INSUFFICIENT_FUNDS,NET_BANKING,3,LOW
15000,20000,CARD_EXPIRED,NET_BANKING,1,HIGH
2000,1000,INSUFFICIENT_FUNDS,CARD,1,MEDIUM
1000,5000,BANK_TIMEOUT,UPI,3,LOW
1500,10000,INSUFFICIENT_FUNDS,CARD,3,LOW
20000,20000,OTP_FAILED,NET_BANKING,1,HIGH
500,200,INSUFFICIENT_FUNDS,NET_BANKING,2,LOW
7500,20000,BANK_TIMEOUT,CARD,1,MEDIUM
5000,2500,INSUFFICIENT_FUNDS,NET_BANKING,1,MEDIUM
20000,1000,OTP_FAILED,NET_BANKING,3,HIGH
15000,200,CARD_EXPIRED,CARD,3,HIGH
3000,5000,INSUFFICIENT_FUNDS,CARD,2,MEDIUM
3000,20000,BANK_TIMEOUT,UPI,1,MEDIUM
7500,500,BANK_TIMEOUT,UPI,1,MEDIUM
2000,5000,OTP_FAILED,UPI,1,MEDIUM
7500,10000,OTP_FAILED,NET_BANKING,1,MEDIUM
500,1000,INSUFFICIENT_FUNDS,UPI,1,LOW
20000,1500,BANK_TIMEOUT,NET_BANKING,3,HIGH
2000,500,CARD_EXPIRED,UPI,1,MEDIUM
20000,1500,BANK_TIMEOUT,NET_BANKING,1,HIGH
15000,2500,OTP_FAILED,CARD,3,HIGH
20000,1000,BANK_TIMEOUT,NET_BANKING,1,HIGH
3000,200,BANK_TIMEOUT,UPI,3,MEDIUM
15000,2500,INSUFFICIENT_FUNDS,NET_BANKING,1,HIGH
7500,2500,INSUFFICIENT_FUNDS,UPI,2,MEDIUM
10000,20000,BANK_TIMEOUT,NET_BANKING,2,HIGH
1500,500,CARD_EXPIRED,UPI,3,LOW
15000,500,INSUFFICIENT_FUNDS,CARD,3,HIGH
7500,1500,BANK_TIMEOUT,UPI,3,MEDIUM
1000,200,INSUFFICIENT_FUNDS,CARD,2,LOW
7500,5000,OTP_FAILED,UPI,1,MEDIUM
7500,5000,CARD_EXPIRED,NET_BANKING,2,MEDIUM
15000,5000,CARD_EXPIRED,CARD,2,HIGH
20000,100,OTP_FAILED,UPI,1,HIGH
20000,2500,INSUFFICIENT_FUNDS,CARD,2,HIGH
500,200,BANK_TIMEOUT,NET_BANKING,1,LOW
15000,1000,INSUFFICIENT_FUNDS,NET_BANKING,1,HIGH
1000,1000,BANK_TIMEOUT,NET_BANKING,1,LOW
7500,1000,CARD_EXPIRED,NET_BANKING,2,MEDIUM
15000,500,BANK_TIMEOUT,CARD,2,HIGH
2000,500,INSUFFICIENT_FUNDS,NET_BANKING,1,MEDIUM
5000,1000,INSUFFICIENT_FUNDS,CARD,2,MEDIUM
500,5000,BANK_TIMEOUT,CARD,1,LOW
3000,1000,INSUFFICIENT_FUNDS,CARD,2,MEDIUM
1000,500,OTP_FAILED,CARD,2,LOW
500,1000,OTP_FAILED,CARD,1,LOW
2000,5000,CARD_EXPIRED,UPI,2,MEDIUM
1000,5000,INSUFFICIENT_FUNDS,UPI,2,LOW
2000,5000,OTP_FAILED,NET_BANKING,2,MEDIUM
20000,100,CARD_EXPIRED,UPI,2,HIGH
10000,2500,INSUFFICIENT_FUNDS,CARD,2,HIGH
20000,10000,INSUFFICIENT_FUNDS,NET_BANKING,2,HIGH
7500,20000,OTP_FAILED,CARD,1,MEDIUM
3000,2500,OTP_FAILED,CARD,2,MEDIUM
1000,1000,INSUFFICIENT_FUNDS,CARD,1,LOW
7500,10000,INSUFFICIENT_FUNDS,NET_BANKING,2,MEDIUM
7500,10000,OTP_FAILED,UPI,3,MEDIUM
20000,1500,CARD_EXPIRED,CARD,1,HIGH
20000,20000,BANK_TIMEOUT,NET_BANKING,1,HIGH
1000,2500,CARD_EXPIRED,CARD,1,LOW
500,500,CARD_EXPIRED,CARD,2,LOW
20000,5000,CARD_EXPIRED,CARD,3,HIGH
5000,10000,CARD_EXPIRED,UPI,1,MEDIUM
5000,100,CARD_EXPIRED,UPI,1,MEDIUM
15000,10000,BANK_TIMEOUT,CARD,3,HIGH
1500,2500,CARD_EXPIRED,CARD,3,LOW
1000,1500,INSUFFICIENT_FUNDS,CARD,1,LOW
2000,2500,CARD_EXPIRED,UPI,3,MEDIUM
5000,10000,CARD_EXPIRED,UPI,2,MEDIUM
1500,500,BANK_TIMEOUT,NET_BANKING,3,LOW
20000,2500,BANK_TIMEOUT,UPI,3,HIGH
7500,2500,CARD_EXPIRED,UPI,1,MEDIUM
7500,10000,OTP_FAILED,CARD,1,MEDIUM
10000,1500,BANK_TIMEOUT,UPI,3,HIGH
15000,2500,INSUFFICIENT_FUNDS,UPI,2,HIGH
10000,2500,OTP_FAILED,UPI,1,HIGH
500,200,INSUFFICIENT_FUNDS,NET_BANKING,2,LOW
5000,500,INSUFFICIENT_FUNDS,UPI,3,MEDIUM
3000,5000,OTP_FAILED,CARD,3,MEDIUM
2000,2500,CARD_EXPIRED,CARD,2,MEDIUM
500,500,INSUFFICIENT_FUNDS,NET_BANKING,3,LOW
1000,1500,BANK_TIMEOUT,NET_BANKING,3,LOW
3000,1000,CARD_EXPIRED,UPI,2,MEDIUM
10000,5000,CARD_EXPIRED,UPI,1,HIGH
15000,2500,OTP_FAILED,UPI,3,HIGH
15000,1000,OTP_FAILED,NET_BANKING,2,HIGH
15000,10000,OTP_FAILED,NET_BANKING,2,HIGH
500,10000,OTP_FAILED,NET_BANKING,3,LOW
2000,2500,CARD_EXPIRED,NET_BANKING,1,MEDIUM
500,5000,CARD_EXPIRED,UPI,3,LOW
7500,200,OTP_FAILED,CARD,1,MEDIUM
1000,10000,CARD_EXPIRED,NET_BANKING,2,LOW
20000,2500,INSUFFICIENT_FUNDS,NET_BANKING,1,HIGH
20000,2500,CARD_EXPIRED,NET_BANKING,2,HIGH
3000,2500,CARD_EXPIRED,NET_BANKING,1,MEDIUM
3000,2500,OTP_FAILED,CARD,2,MEDIUM
1500,20000,INSUFFICIENT_FUNDS,NET_BANKING,3,LOW
10000,20000,OTP_FAILED,UPI,2,HIGH
1500,5000,INSUFFICIENT_FUNDS,UPI,3,LOW
1000,20000,INSUFFICIENT_FUNDS,CARD,2,LOW
1500,20000,INSUFFICIENT_FUNDS,CARD,1,LOW
15000,200,OTP_FAILED,UPI,3,HIGH
500,10000,BANK_TIMEOUT,NET_BANKING,1,LOW
20000,100,BANK_TIMEOUT,CARD,1,HIGH
5000,20000,OTP_FAILED,UPI,1,MEDIUM
20000,1500,CARD_EXPIRED,NET_BANKING,1,HIGH
1500,500,INSUFFICIENT_FUNDS,UPI,1,LOW
10000,20000,CARD_EXPIRED,UPI,1,HIGH
10000,5000,INSUFFICIENT_FUNDS,NET_BANKING,1,HIGH
1500,100,CARD_EXPIRED,NET_BANKING,1,LOW
7500,1000,CARD_EXPIRED,NET_BANKING,1,MEDIUM
20000,2500,CARD_EXPIRED,UPI,2,HIGH
500,20000,BANK_TIMEOUT,CARD,1,LOW
10000,20000,CARD_EXPIRED,NET_BANKING,3,HIGH
15000,100,OTP_FAILED,UPI,2,HIGH
2000,100,CARD_EXPIRED,NET_BANKING,2,MEDIUM
15000,100,OTP_FAILED,NET_BANKING,3,HIGH
1000,1000,OTP_FAILED,UPI,3,LOW
10000,5000,CARD_EXPIRED,NET_BANKING,2,HIGH
20000,2500,INSUFFICIENT_FUNDS,UPI,2,HIGH
2000,2500,OTP_FAILED,UPI,3,MEDIUM
500,2500,BANK_TIMEOUT,CARD,2,LOW
10000,500,OTP_FAILED,UPI,3,HIGH
5000,10000,BANK_TIMEOUT,UPI,1,MEDIUM
1000,10000,CARD_EXPIRED,CARD,1,LOW
1000,200,OTP_FAILED,CARD,2,LOW
5000,20000,CARD_EXPIRED,UPI,1,MEDIUM
500,100,INSUFFICIENT_FUNDS,UPI,3,LOW
20000,100,OTP_FAILED,UPI,3,HIGH
10000,100,BANK_TIMEOUT,UPI,2,HIGH
2000,20000,BANK_TIMEOUT,UPI,1,MEDIUM
2000,1500,INSUFFICIENT_FUNDS,UPI,1,MEDIUM
15000,100,BANK_TIMEOUT,NET_BANKING,1,HIGH
500,1500,BANK_TIMEOUT,UPI,3,LOW
1000,200,INSUFFICIENT_FUNDS,NET_BANKING,1,LOW
1500,5000,BANK_TIMEOUT,NET_BANKING,1,LOW
500,1000,OTP_FAILED,NET_BANKING,2,LOW
5000,20000,OTP_FAILED,NET_BANKING,1,MEDIUM
15000,20000,OTP_FAILED,UPI,3,HIGH
15000,1500,BANK_TIMEOUT,NET_BANKING,3,HIGH
15000,100,INSUFFICIENT_FUNDS,CARD,3,HIGH
3000,5000,OTP_FAILED,NET_BANKING,2,MEDIUM
7500,1500,OTP_FAILED,NET_BANKING,2,MEDIUM
15000,100,CARD_EXPIRED,NET_BANKING,1,HIGH
20000,5000,BANK_TIMEOUT,CARD,2,HIGH
7500,1500,CARD_EXPIRED,UPI,1,MEDIUM
2000,500,BANK_TIMEOUT,CARD,1,MEDIUM
1500,10000,OTP_FAILED,CARD,1,LOW
3000,1500,CARD_EXPIRED,UPI,1,MEDIUM
10000,5000,CARD_EXPIRED,CARD,3,HIGH
500,100,INSUFFICIENT_FUNDS,NET_BANKING,1,LOW
2000,100,OTP_FAILED,NET_BANKING,2,MEDIUM
500,500,BANK_TIMEOUT,UPI,2,LOW
7500,500,CARD_EXPIRED,UPI,3,MEDIUM
3000,20000,OTP_FAILED,UPI,2,MEDIUM
15000,100,INSUFFICIENT_FUNDS,CARD,2,HIGH
1500,2500,OTP_FAILED,UPI,1,LOW
20000,1000,CARD_EXPIRED,NET_BANKING,1,HIGH
1500,5000,BANK_TIMEOUT,CARD,1,LOW
2000,500,INSUFFICIENT_FUNDS,UPI,1,MEDIUM
15000,10000,OTP_FAILED,NET_BANKING,2,HIGH
3000,200,BANK_TIMEOUT,UPI,3,MEDIUM
5000,1500,CARD_EXPIRED,NET_BANKING,3,MEDIUM
5000,500,INSUFFICIENT_FUNDS,NET_BANKING,3,MEDIUM
1500,5000,OTP_FAILED,NET_BANKING,1,LOW
15000,100,CARD_EXPIRED,UPI,1,HIGH
500,200,OTP_FAILED,UPI,2,LOW
20000,200,OTP_FAILED,NET_BANKING,2,HIGH
1000,500,OTP_FAILED,UPI,2,LOW
1500,1000,OTP_FAILED,UPI,3,LOW
5000,5000,CARD_EXPIRED,CARD,3,MEDIUM
1500,500,INSUFFICIENT_FUNDS,NET_BANKING,1,LOW
3000,1000,CARD_EXPIRED,CARD,2,MEDIUM
20000,1500,OTP_FAILED,NET_BANKING,1,HIGH
10000,2500,CARD_EXPIRED,NET_BANKING,1,HIGH
2000,500,CARD_EXPIRED,UPI,1,MEDIUM
10000,1000,BANK_TIMEOUT,UPI,3,HIGH
15000,2500,INSUFFICIENT_FUNDS,CARD,3,HIGH
3000,20000,OTP_FAILED,NET_BANKING,2,MEDIUM
500,500,CARD_EXPIRED,UPI,2,LOW
1000,1000,CARD_EXPIRED,UPI,1,LOW
2000,1000,OTP_FAILED,CARD,3,MEDIUM
1500,2500,BANK_TIMEOUT,NET_BANKING,1,LOW
7500,2500,BANK_TIMEOUT,CARD,1,MEDIUM
15000,20000,CARD_EXPIRED,UPI,2,HIGH
10000,10000,OTP_FAILED,UPI,2,HIGH
1500,500,OTP_FAILED,UPI,3,LOW
1500,5000,OTP_FAILED,CARD,2,LOW
1000,10000,OTP_FAILED,UPI,1,LOW
5000,1500,INSUFFICIENT_FUNDS,CARD,1,MEDIUM
20000,1000,BANK_TIMEOUT,CARD,2,HIGH
5000,500,BANK_TIMEOUT,CARD,3,MEDIUM
1000,10000,BANK_TIMEOUT,CARD,3,LOW
2000,5000,OTP_FAILED,CARD,1,MEDIUM
500,10000,BANK_TIMEOUT,NET_BANKING,2,LOW
1500,1500,CARD_EXPIRED,UPI,2,LOW
5000,200,OTP_FAILED,CARD,2,MEDIUM
1000,200,CARD_EXPIRED,CARD,3,LOW
10000,1500,OTP_FAILED,CARD,1,HIGH
20000,10000,INSUFFICIENT_FUNDS,CARD,3,HIGH
1000,100,CARD_EXPIRED,CARD,2,LOW
3000,500,OTP_FAILED,UPI,2,MEDIUM
7500,100,BANK_TIMEOUT,NET_BANKING,3,MEDIUM
7500,200,OTP_FAILED,UPI,1,MEDIUM
5000,100,CARD_EXPIRED,NET_BANKING,2,MEDIUM
2000,2500,BANK_TIMEOUT,NET_BANKING,2,MEDIUM
